Artists,Name,Weekly.rank,Peak.position,Weeks.on.chart,Week,Date,Genre,Features
Luke Combs,Beer Never Broke My Heart,22,22.0,6.0,2019-06-22,"May 8, 2019","Rock,Country",nan
"Daddy Yankee, Katy Perry",Con Calma,23,22.0,19.0,2019-06-22,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
"Young Thug, J. Cole, Travis Scott",The London,24,12.0,3.0,2019-06-22,"May 23, 2019","Hip-Hop,East Coast,Atlanta,Rap",nan
J. Cole,Middle Child,25,4.0,21.0,2019-06-22,"January 23, 2019","Trap,East Coast,Rap",nan
City Girls,Act Up,26,26.0,15.0,2019-06-22,"November 16, 2018","Motown,East Coast,Rap",nan
"benny blanco, Halsey, Khalid",Eastside,27,9.0,48.0,2019-06-22,"July 12, 2018","R&;B,Pop",nan
Katy Perry,Never Really Over,28,15.0,2.0,2019-06-22,"May 31, 2019","Electro-Pop,Synth-Pop,Pop",nan
"Mustard, Migos",Pure Water,29,23.0,20.0,2019-06-22,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",nan
"Tyler, The Creator",Earfquake,30,13.0,4.0,2019-06-22,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",nan
Panic! At The Disco,"Hey Look Ma, I Made It",31,31.0,9.0,2019-06-22,"June 22, 2018","Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",nan
Meek Mill,Going Bad,32,6.0,28.0,2019-06-22,"November 30, 2018","East Coast,Canada,Rap",Drake
Dan + Shay,Speechless,33,24.0,25.0,2019-06-22,"May 18, 2018",Country,nan
"Lady Gaga, Bradley Cooper",Shallow,34,1.0,37.0,2019-06-22,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",nan
Khalid,Better,35,8.0,39.0,2019-06-22,"September 14, 2018","Electro-Pop,Pop,R&;B",nan
Lee Brice,Rumor,36,36.0,14.0,2019-06-22,"November 3, 2017",Country,nan
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",37,2.0,18.0,2019-06-22,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",nan
Travis Scott,Sicko Mode,38,1.0,45.0,2019-06-22,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
Thomas Rhett,Look What God Gave Her,39,32.0,15.0,2019-06-22,"March 1, 2019",Country,nan
A Boogie Wit da Hoodie,Look Back At It,40,27.0,27.0,2019-06-22,"December 7, 2018","Pop,Rap",nan
Calboy,Envy Me,41,31.0,26.0,2019-06-22,"September 13, 2018",Rap,nan
Billie Eilish,When The Party's Over,42,29.0,31.0,2019-06-22,"October 17, 2018","R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",nan
Halsey,Nightmare,43,15.0,4.0,2019-06-22,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",nan
Jonas Brothers,Cool,44,27.0,10.0,2019-06-22,"April 5, 2019","Teen Pop,Pop-Rock,Pop",nan
Luke Combs,Beautiful Crazy,45,21.0,31.0,2019-06-22,"May 4, 2018",Country,nan
Kane Brown,Good As You,46,36.0,16.0,2019-06-22,"October 19, 2018",Country,nan
Cardi B,Press,47,16.0,2.0,2019-06-22,"May 31, 2019","Hardcore Hip-Hop,Trap,Hip-Hop,Rap",nan
Lil Baby,Close Friends,48,28.0,33.0,2019-06-22,"October 5, 2018","Atlanta,Motown,Trap,Rap",nan
Ed Sheeran,Cross Me,49,34.0,3.0,2019-06-22,"May 24, 2019","Rap,R&;B,UK,Pop","Chance The Rapper, PnB Rock"
"YG, Tyga, Jon Z",Go Loko,50,50.0,6.0,2019-06-22,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",nan
"Cardi B, Bruno Mars",Please Me,51,3.0,17.0,2019-06-22,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",nan
Brett Eldredge,Love Someone,52,52.0,8.0,2019-06-22,"June 18, 2018",Country,nan
Offset,Clout,53,39.0,10.0,2019-06-22,"February 22, 2019","East Coast,Motown,Rap",Cardi B
YK Osiris,Worth It,54,52.0,17.0,2019-06-22,"February 8, 2019","Rap,East Coast,R&;B",nan
Lewis Capaldi,Someone You Loved,55,55.0,5.0,2019-06-22,"November 8, 2018","UK,Pop",nan
Kelsea Ballerini,Miss Me More,56,47.0,19.0,2019-06-22,"October 20, 2017",Country,nan
P!nk,Walk Me Home,57,49.0,15.0,2019-06-22,"February 20, 2019",Pop,nan
Billie Eilish,Bury A Friend,58,14.0,20.0,2019-06-22,"January 30, 2019","Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop",nan
Maren Morris,GIRL,59,59.0,15.0,2019-06-22,"January 17, 2019","Pop,Country,Pop Country",nan
DJ Khaled,Just Us,60,43.0,4.0,2019-06-22,"May 16, 2019","Rap,R&;B",SZA
Luke Bryan,Knockin' Boots,61,61.0,7.0,2019-06-22,"March 29, 2019",Country,nan
5 Seconds Of Summer,Easier,63,48.0,3.0,2019-06-22,"May 23, 2019","Australia,Pop",nan
"Summer Walker, Drake",Girls Need Love,64,37.0,16.0,2019-06-22,"February 27, 2019","Atlanta,Canada,Remix,R&;B",nan
Meek Mill,24/7,67,54.0,10.0,2019-06-22,"November 30, 2018","East Coast,UK,R&;B,Rap",Ella Mai
Jason Aldean,Rearview Town,68,68.0,3.0,2019-06-22,"March 16, 2018",Country,nan
DJ Khaled,Wish Wish,70,19.0,4.0,2019-06-22,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
Dan + Shay,All To Myself,71,71.0,6.0,2019-06-22,"May 3, 2018",Country,nan
Chase Rice,Eyes On You,72,38.0,17.0,2019-06-22,"October 13, 2017",Country,nan
Beyonce,Before I Let Go,73,65.0,8.0,2019-06-22,"April 17, 2019","Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",nan
Eric Church,Some Of It,74,74.0,3.0,2019-06-22,"October 5, 2018",Country,nan
Marshmello,Here With Me,75,31.0,14.0,2019-06-22,"March 8, 2019","Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop",CHVRCHES
Lil Uzi Vert,Sanguine Paradise,76,28.0,9.0,2019-06-22,"April 9, 2019","East Coast,Trap,Rap",nan
"Lunay, Daddy Yankee, Bad Bunny",Soltera,77,73.0,5.0,2019-06-22,"May 10, 2019","Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",nan
Florida Georgia Line,Talk You Out Of It,78,77.0,17.0,2019-06-22,"July 6, 2018",Country,nan
Yo Gotti,Put A Date On It,79,46.0,20.0,2019-06-22,"January 25, 2019",Rap,Lil Baby
Eli Young Band,Love Ain't,80,50.0,9.0,2019-06-22,"May 25, 2018",Country,nan
NLE Choppa,Shotta Flow,81,81.0,8.0,2019-06-22,"January 17, 2019",Rap,nan
"Pedro Capo, Farruko",Calma,82,71.0,13.0,2019-06-22,"October 5, 2018","Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop",nan
"The Chainsmokers, Bebe Rexha",Call You Mine,84,67.0,2.0,2019-06-22,"May 31, 2019","Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop",nan
Billie Eilish,Ocean Eyes,85,84.0,16.0,2019-06-22,"November 19, 2015","Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",nan
Megan Thee Stallion,Big Ole Freak,86,65.0,10.0,2019-06-22,"June 11, 2018",Rap,nan
Cody Johnson,On My Way To You,88,78.0,16.0,2019-06-22,"August 10, 2018",Country,nan
SHAED,Trampoline,89,89.0,2.0,2019-06-22,"May 18, 2018",Pop,nan
Chris Young,Raised On Country,90,90.0,2.0,2019-06-22,"January 4, 2019",Country,nan
"Nicky Jam, Ozuna",Te Robare,91,91.0,5.0,2019-06-22,"March 22, 2019","Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop",nan
"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,94,94.0,3.0,2019-06-22,"March 15, 2019","Hip-Hop,Rap",nan
Bryce Vine,La La Land,95,92.0,2.0,2019-06-22,"March 1, 2019","Pop,Rap,Hip-Hop,R&;B",YG
Juice WRLD,Robbery,96,27.0,17.0,2019-06-22,"February 13, 2019","Trap,Emo Rap,Emo,Rap",nan
"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,97,69.0,7.0,2019-06-22,"April 25, 2019","Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop",nan
"Lil Nas,",Old Town Road,1,1.0,4.0,2019-06-15,"April 5, 2019","Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
Billie Eilish,Bad Guy,2,2.0,10.0,2019-06-15,"March 29, 2019","Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",nan
Khalid,Talk,3,3.0,17.0,2019-06-15,"February 7, 2019","Synth-Pop,Pop",nan
"Ed Sheeran, Justin Bieber",I Don't Care,4,2.0,4.0,2019-06-15,"May 10, 2019","Canada,UK,Dance,Dance-Pop,Pop",nan
Jonas Brothers,Sucker,5,1.0,14.0,2019-06-15,"March 1, 2019","Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",nan
Post Malone,Wow.,6,2.0,24.0,2019-06-15,"December 24, 2018","Memes,Hip-Hop,Trap,Rap",nan
"Post Malone, Swae Lee",Sunflower,7,1.0,33.0,2019-06-15,"October 18, 2018","Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",nan
DaBaby,Suge,8,8.0,10.0,2019-06-15,"March 1, 2019","Trap,East Coast,Rap",nan
"Sam Smith, Normani",Dancing With A Stranger,9,7.0,21.0,2019-06-15,"January 11, 2019","UK,Pop",nan
Ava Max,Sweet But Psycho,10,10.0,25.0,2019-06-15,"August 17, 2018","Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop",nan
Taylor Swift,ME!,11,2.0,7.0,2019-06-15,"April 26, 2019","Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
Halsey,Without Me,12,1.0,35.0,2019-06-15,"October 4, 2018","Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",nan
Ariana Grande,7 Rings,13,1.0,20.0,2019-06-15,"January 18, 2019","Memes,Trap,R&;B,Pop",nan
Shawn Mendes,If I Can't Have You,14,2.0,5.0,2019-06-15,"May 3, 2019","Canada,Teen Pop,Pop",nan
"Young Thug, J. Cole, Travis Scott",The London,17,12.0,2.0,2019-06-15,"May 23, 2019","Hip-Hop,East Coast,Atlanta,Rap",nan
"Marshmello, Bastille",Happier,18,2.0,42.0,2019-06-15,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",nan
Blake Shelton,God's Country,19,19.0,10.0,2019-06-15,"March 29, 2019",Country,nan
Morgan Wallen,Whiskey Glasses,20,17.0,14.0,2019-06-15,"April 27, 2018",Country,nan
Lizzo,Truth Hurts,21,21.0,5.0,2019-06-15,"September 19, 2017","Pop,Rap",nan
Polo G,Pop Out,22,22.0,11.0,2019-06-15,"January 13, 2019","Trap,Rap",Lil Tjay
Panic! At The Disco,High Hopes,23,4.0,44.0,2019-06-15,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
"Daddy Yankee, Katy Perry",Con Calma,24,22.0,18.0,2019-06-15,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
J. Cole,Middle Child,25,4.0,20.0,2019-06-15,"January 23, 2019","Trap,East Coast,Rap",nan
"benny blanco, Halsey, Khalid",Eastside,26,9.0,47.0,2019-06-15,"July 12, 2018","R&;B,Pop",nan
"Tyler, The Creator",Earfquake,27,13.0,3.0,2019-06-15,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",nan
City Girls,Act Up,28,28.0,14.0,2019-06-15,"November 16, 2018","Motown,East Coast,Rap",nan
Meek Mill,Going Bad,29,6.0,27.0,2019-06-15,"November 30, 2018","East Coast,Canada,Rap",Drake
"Mustard, Migos",Pure Water,30,23.0,19.0,2019-06-15,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",nan
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",31,2.0,17.0,2019-06-15,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",nan
Thomas Rhett,Look What God Gave Her,32,32.0,14.0,2019-06-15,"March 1, 2019",Country,nan
A Boogie Wit da Hoodie,Look Back At It,33,27.0,26.0,2019-06-15,"December 7, 2018","Pop,Rap",nan
Khalid,Better,34,8.0,38.0,2019-06-15,"September 14, 2018","Electro-Pop,Pop,R&;B",nan
Travis Scott,Sicko Mode,35,1.0,44.0,2019-06-15,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
Halsey,Nightmare,36,15.0,3.0,2019-06-15,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",nan
Lee Brice,Rumor,37,37.0,13.0,2019-06-15,"November 3, 2017",Country,nan
Luke Combs,Beer Never Broke My Heart,38,29.0,5.0,2019-06-15,"May 8, 2019","Rock,Country",nan
Panic! At The Disco,"Hey Look Ma, I Made It",39,39.0,8.0,2019-06-15,"June 22, 2018","Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",nan
Calboy,Envy Me,40,31.0,25.0,2019-06-15,"September 13, 2018",Rap,nan
Kane Brown,Good As You,41,36.0,15.0,2019-06-15,"October 19, 2018",Country,nan
"Cardi B, Bruno Mars",Please Me,42,3.0,16.0,2019-06-15,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",nan
"Lady Gaga, Bradley Cooper",Shallow,43,1.0,36.0,2019-06-15,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",nan
Billie Eilish,When The Party's Over,44,29.0,30.0,2019-06-15,"October 17, 2018","R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",nan
Luke Combs,Beautiful Crazy,45,21.0,30.0,2019-06-15,"May 4, 2018",Country,nan
Ed Sheeran,Cross Me,46,34.0,2.0,2019-06-15,"May 24, 2019","Rap,R&;B,UK,Pop","Chance The Rapper, PnB Rock"
Kelsea Ballerini,Miss Me More,47,47.0,18.0,2019-06-15,"October 20, 2017",Country,nan
Dan + Shay,Speechless,48,24.0,24.0,2019-06-15,"May 18, 2018",Country,nan
Lil Baby,Close Friends,49,28.0,32.0,2019-06-15,"October 5, 2018","Atlanta,Motown,Trap,Rap",nan
"YG, Tyga, Jon Z",Go Loko,50,50.0,5.0,2019-06-15,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",nan
DJ Khaled,Wish Wish,51,19.0,3.0,2019-06-15,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
P!nk,Walk Me Home,52,49.0,14.0,2019-06-15,"February 20, 2019",Pop,nan
Billie Eilish,Bury A Friend,53,14.0,19.0,2019-06-15,"January 30, 2019","Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop",nan
Offset,Clout,55,39.0,9.0,2019-06-15,"February 22, 2019","East Coast,Motown,Rap",Cardi B
YK Osiris,Worth It,56,52.0,16.0,2019-06-15,"February 8, 2019","Rap,East Coast,R&;B",nan
Brett Eldredge,Love Someone,57,57.0,7.0,2019-06-15,"June 18, 2018",Country,nan
Lewis Capaldi,Someone You Loved,58,58.0,4.0,2019-06-15,"November 8, 2018","UK,Pop",nan
Jonas Brothers,Cool,59,27.0,9.0,2019-06-15,"April 5, 2019","Teen Pop,Pop-Rock,Pop",nan
Marshmello,Here With Me,60,31.0,13.0,2019-06-15,"March 8, 2019","Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop",CHVRCHES
Maren Morris,GIRL,61,61.0,14.0,2019-06-15,"January 17, 2019","Pop,Country,Pop Country",nan
DJ Khaled,Just Us,62,43.0,3.0,2019-06-15,"May 16, 2019","Rap,R&;B",SZA
5 Seconds Of Summer,Easier,63,48.0,2.0,2019-06-15,"May 23, 2019","Australia,Pop",nan
Luke Bryan,Knockin' Boots,64,64.0,6.0,2019-06-15,"March 29, 2019",Country,nan
Chase Rice,Eyes On You,65,38.0,16.0,2019-06-15,"October 13, 2017",Country,nan
"Summer Walker, Drake",Girls Need Love,66,37.0,15.0,2019-06-15,"February 27, 2019","Atlanta,Canada,Remix,R&;B",nan
Eli Young Band,Love Ain't,68,50.0,8.0,2019-06-15,"May 25, 2018",Country,nan
YNW Melly,Murder On My Mind,69,14.0,20.0,2019-06-15,"March 4, 2017","Hip-Hop,Rap",nan
Lil Uzi Vert,Sanguine Paradise,71,28.0,8.0,2019-06-15,"April 9, 2019","East Coast,Trap,Rap",nan
Beyonce,Before I Let Go,72,65.0,7.0,2019-06-15,"April 17, 2019","Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",nan
Yo Gotti,Put A Date On It,73,46.0,19.0,2019-06-15,"January 25, 2019",Rap,Lil Baby
"Lunay, Daddy Yankee, Bad Bunny",Soltera,74,73.0,4.0,2019-06-15,"May 10, 2019","Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",nan
Dan + Shay,All To Myself,75,75.0,5.0,2019-06-15,"May 3, 2018",Country,nan
Meek Mill,24/7,76,54.0,9.0,2019-06-15,"November 30, 2018","East Coast,UK,R&;B,Rap",Ella Mai
Megan Thee Stallion,Big Ole Freak,77,65.0,9.0,2019-06-15,"June 11, 2018",Rap,nan
Cody Johnson,On My Way To You,78,78.0,15.0,2019-06-15,"August 10, 2018",Country,nan
Joyner Lucas,Isis,79,59.0,2.0,2019-06-15,"May 7, 2019","Trap,Hip-Hop,East Coast,DMV,Rap",Logic
Eric Church,Some Of It,80,76.0,2.0,2019-06-15,"October 5, 2018",Country,nan
Florida Georgia Line,Talk You Out Of It,81,77.0,16.0,2019-06-15,"July 6, 2018",Country,nan
NLE Choppa,Shotta Flow,82,81.0,7.0,2019-06-15,"January 17, 2019",Rap,nan
"Pedro Capo, Farruko",Calma,83,71.0,12.0,2019-06-15,"October 5, 2018","Puerto Rico,Reggaeton,Latin Music,Latin Pop,Latin Urban,Remix,En Espa\xc3\xb1ol,Pop",nan
DJ Khaled,You Stay,84,44.0,3.0,2019-06-15,"May 17, 2019","Atlanta,R&;B,Latin Music,En Espa\xc3\xb1ol,Rap","Meek Mill, J Balvin, Lil Baby, Jeremih"
Logic,Homicide,85,5.0,5.0,2019-06-15,"May 3, 2019","Trap,Hip-Hop,DMV,Rap",Eminem
Billie Eilish,Ocean Eyes,86,84.0,15.0,2019-06-15,"November 19, 2015","Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop",nan
Juice WRLD,Robbery,87,27.0,16.0,2019-06-15,"February 13, 2019","Trap,Emo Rap,Emo,Rap",nan
Jason Aldean,Rearview Town,88,88.0,2.0,2019-06-15,"March 16, 2018",Country,nan
"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,89,69.0,6.0,2019-06-15,"April 25, 2019","Latin Pop,Reggaeton,Remix,Puerto Rico,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Pop",nan
Nipsey Hussle,Racks In The Middle,95,26.0,10.0,2019-06-15,"February 15, 2019",Rap,"Roddy Ricch, Hit"
"Nicky Jam, Ozuna",Te Robare,96,95.0,4.0,2019-06-15,"March 22, 2019","Reggaeton,Puerto Rico,Latin Urban,Latin Music,Latin Pop,En Espa\xc3\xb1ol,Pop",nan
"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,98,94.0,2.0,2019-06-15,"March 15, 2019","Hip-Hop,Rap",nan
Jon Pardi,Night Shift,100,56.0,16.0,2019-06-15,"June 17, 2016",Country,nan
"Lil Nas,",Old Town Road,1,1.0,3.0,2019-06-08,"April 5, 2019","Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
Billie Eilish,Bad Guy,2,2.0,9.0,2019-06-08,"March 29, 2019","Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",nan
Khalid,Talk,3,3.0,16.0,2019-06-08,"February 7, 2019","Synth-Pop,Pop",nan
"Ed Sheeran, Justin Bieber",I Don't Care,4,2.0,3.0,2019-06-08,"May 10, 2019","Canada,UK,Dance,Dance-Pop,Pop",nan
Jonas Brothers,Sucker,5,1.0,13.0,2019-06-08,"March 1, 2019","Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",nan
"Post Malone, Swae Lee",Sunflower,6,1.0,32.0,2019-06-08,"October 18, 2018","Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",nan
Post Malone,Wow.,7,2.0,23.0,2019-06-08,"December 24, 2018","Memes,Hip-Hop,Trap,Rap",nan
"Sam Smith, Normani",Dancing With A Stranger,8,7.0,20.0,2019-06-08,"January 11, 2019","UK,Pop",nan
DaBaby,Suge,9,9.0,9.0,2019-06-08,"March 1, 2019","Trap,East Coast,Rap",nan
Ava Max,Sweet But Psycho,10,10.0,24.0,2019-06-08,"August 17, 2018","Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop",nan
Taylor Swift,ME!,11,2.0,6.0,2019-06-08,"April 26, 2019","Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
Halsey,Without Me,13,1.0,34.0,2019-06-08,"October 4, 2018","Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",nan
Ariana Grande,7 Rings,14,1.0,19.0,2019-06-08,"January 18, 2019","Memes,Trap,R&;B,Pop",nan
Shawn Mendes,If I Can't Have You,15,2.0,4.0,2019-06-08,"May 3, 2019","Canada,Teen Pop,Pop",nan
"Marshmello, Bastille",Happier,16,2.0,41.0,2019-06-08,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",nan
Morgan Wallen,Whiskey Glasses,17,17.0,13.0,2019-06-08,"April 27, 2018",Country,nan
J. Cole,Middle Child,18,4.0,19.0,2019-06-08,"January 23, 2019","Trap,East Coast,Rap",nan
Panic! At The Disco,High Hopes,19,4.0,43.0,2019-06-08,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",nan
Blake Shelton,God's Country,20,20.0,9.0,2019-06-08,"March 29, 2019",Country,nan
"Tyler, The Creator",Earfquake,21,13.0,2.0,2019-06-08,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",nan
"Daddy Yankee, Katy Perry",Con Calma,22,22.0,17.0,2019-06-08,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
Meek Mill,Going Bad,23,6.0,26.0,2019-06-08,"November 30, 2018","East Coast,Canada,Rap",Drake
"benny blanco, Halsey, Khalid",Eastside,24,9.0,46.0,2019-06-08,"July 12, 2018","R&;B,Pop",nan
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",25,2.0,16.0,2019-06-08,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",nan
Lizzo,Truth Hurts,26,26.0,4.0,2019-06-08,"September 19, 2017","Pop,Rap",nan
Polo G,Pop Out,27,27.0,10.0,2019-06-08,"January 13, 2019","Trap,Rap",Lil Tjay
A Boogie Wit da Hoodie,Look Back At It,28,27.0,25.0,2019-06-08,"December 7, 2018","Pop,Rap",nan
Halsey,Nightmare,29,15.0,2.0,2019-06-08,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",nan
"Mustard, Migos",Pure Water,30,23.0,18.0,2019-06-08,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",nan
City Girls,Act Up,31,29.0,13.0,2019-06-08,"November 16, 2018","Motown,East Coast,Rap",nan
Travis Scott,Sicko Mode,32,1.0,43.0,2019-06-08,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",nan
Khalid,Better,33,8.0,37.0,2019-06-08,"September 14, 2018","Electro-Pop,Pop,R&;B",nan
"Cardi B, Bruno Mars",Please Me,35,3.0,15.0,2019-06-08,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",nan
Kane Brown,Good As You,36,36.0,14.0,2019-06-08,"October 19, 2018",Country,nan
"Lady Gaga, Bradley Cooper",Shallow,37,1.0,35.0,2019-06-08,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",nan
Calboy,Envy Me,38,31.0,24.0,2019-06-08,"September 13, 2018",Rap,nan
Luke Combs,Beer Never Broke My Heart,39,29.0,4.0,2019-06-08,"May 8, 2019","Rock,Country",nan
Panic! At The Disco,"Hey Look Ma, I Made It",40,40.0,7.0,2019-06-08,"June 22, 2018","Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",nan
Lee Brice,Rumor,41,41.0,12.0,2019-06-08,"November 3, 2017",Country,nan
Billie Eilish,When The Party's Over,42,29.0,29.0,2019-06-08,"October 17, 2018","R&;B,Ambient,Art Pop,Indie Pop,Ballad,Pop",nan
DJ Khaled,Wish Wish,43,19.0,2.0,2019-06-08,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
Thomas Rhett,Look What God Gave Her,44,44.0,13.0,2019-06-08,"March 1, 2019",Country,nan
Luke Combs,Beautiful Crazy,45,21.0,29.0,2019-06-08,"May 4, 2018",Country,nan
Dan + Shay,Speechless,46,24.0,23.0,2019-06-08,"May 18, 2018",Country,nan
Lil Baby,Close Friends,47,28.0,31.0,2019-06-08,"October 5, 2018","Atlanta,Motown,Trap,Rap",nan
21 Savage,A Lot,49,12.0,23.0,2019-06-08,"December 21, 2018","East Coast,Trap,Rap",nan
Blueface,Thotiana,50,8.0,20.0,2019-06-08,"February 16, 2019","Trap,Hip-Hop,West Coast,East Coast,Remix,Rap",nan
Billie Eilish,Bury A Friend,51,14.0,18.0,2019-06-08,"January 30, 2019","Trap,Alternative,Dark Pop,Industrial,Alternative Pop,Electronica,Pop",nan
Kelsea Ballerini,Miss Me More,52,52.0,17.0,2019-06-08,"October 20, 2017",Country,nan
"YG, Tyga, Jon Z",Go Loko,53,53.0,4.0,2019-06-08,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",nan
Chase Rice,Eyes On You,54,38.0,15.0,2019-06-08,"October 13, 2017",Country,nan
