,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
118,"Tu Veneno","J Balvin",966048,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
119,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",965359,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
120,"Die For You (feat. Dominic Fike)","Justin Bieber",964703,https://open.spotify.com/track/7aely3H8kMj9o0gt6vXHE1
121,"Say You Won't Let Go","James Arthur",963604,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
122,"Blueberry Faygo","Lil Mosey",958549,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
123,"Shape of You","Ed Sheeran",955124,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
124,"Love You Different (feat. BEAM)","Justin Bieber",953096,https://open.spotify.com/track/27UcQ6dAvQrgH9C880rCM3
125,"The Hills","The Weeknd",949771,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
126,Perfect,"Ed Sheeran",948042,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
127,"Take Me To Church",Hozier,945696,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
128,"Break My Heart","Dua Lipa",945367,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
129,"Relación - Remix",Sech,942555,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
130,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,927231,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
131,"JETSKI (feat. Lil Mosey & Lil Tecca)","Internet Money",920378,https://open.spotify.com/track/2vl0D1b0M6UHlD1Fjh5j1m
132,"Además de Mí - Remix",Rusherking,919596,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
133,"Mi Niña",Wisin,918673,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
134,"Bohemian Rhapsody - Remastered 2011",Queen,918267,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
135,Afterglow,"Ed Sheeran",916329,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
136,"HIGHEST IN THE ROOM","Travis Scott",915632,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
137,"Hasta Abajo","Kevin Roldan",912373,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
138,"Dreams - 2004 Remaster","Fleetwood Mac",911668,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
139,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",908302,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
140,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",903613,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
141,"Chica Ideal","Sebastian Yatra",901080,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
142,"Facas - Ao Vivo","Diego & Victor Hugo",898878,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
143,"Daddy Issues","The Neighbourhood",895298,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
144,Dior,"Pop Smoke",895277,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
145,"Somebody That I Used To Know",Gotye,893236,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
146,"Life Is Good (feat. Drake)",Future,891236,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
147,"Martin & Gina","Polo G",890396,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
148,Tusa,"KAROL G",889793,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
149,"Street Runner","Rod Wave",888934,https://open.spotify.com/track/3JYxIozjRsvEmHrIvfFhud
150,Falling,"Harry Styles",888099,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
151,Gone,ROSÉ,887564,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
152,"Talking to the Moon","Bruno Mars",886678,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
153,"Wishing Well","Juice WRLD",884419,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
154,"Ride It",Regard,882705,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
155,"Rain On Me (with Ariana Grande)","Lady Gaga",880358,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
156,"Another One Bites The Dust - Remastered 2011",Queen,879549,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
157,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,877777,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
158,"Jocelyn Flores",XXXTENTACION,877366,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
159,"Ele É Ele, Eu Sou Eu","Wesley Safadão",872742,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
160,"All of Me","John Legend",869460,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
161,"Fan de Tus Fotos","Nicky Jam",865256,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
162,"Do I Wanna Know?","Arctic Monkeys",862339,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
163,"Just the Way You Are","Bruno Mars",859874,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
164,"Every Breath You Take","The Police",859102,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
165,Tombstone,"Rod Wave",858726,https://open.spotify.com/track/5pRTz4O2qOkr5nawemy6Wb
166,"Wasted Love (feat. Lagique)",Ofenbach,858503,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
167,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",856372,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
168,Robbery,"Juice WRLD",855369,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
169,"Train Wreck","James Arthur",853247,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
170,Falling,"Trevor Daniel",852004,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
171,Somebody,"Justin Bieber",850534,https://open.spotify.com/track/3buwFfY33H32wfZ6X9poV3
172,"Life Goes On",BTS,845496,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
173,"If the World Was Ending - feat. Julia Michaels","JP Saxe",845042,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
174,"Una Locura",Ozuna,844108,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
175,"SICKO MODE","Travis Scott",842134,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
176,"Come & Go (with Marshmello)","Juice WRLD",841297,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
177,"everything i wanted","Billie Eilish",841091,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
178,"7 rings","Ariana Grande",841072,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
179,Lifetime,"Justin Bieber",838057,https://open.spotify.com/track/10Z9RbwrTbQ0gQeNRJ2dC1
180,"In Your Eyes","The Weeknd",836109,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
181,"Counting Stars",OneRepublic,835972,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
182,"Esquema Preferido","DJ Ivis",833879,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
183,"Girls Like Us","Zoe Wees",828869,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
184,Bang!,AJR,825373,https://open.spotify.com/track/2I2AqFb0f9UNnolWc2MafC
185,BEBÉ,Camilo,821813,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
186,"Take You Dancing","Jason Derulo",821208,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
187,SAD!,XXXTENTACION,819699,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
188,Runaway,AURORA,817110,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
189,Riptide,"Vance Joy",817058,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
190,"Put Your Records On","Ritt Momney",816647,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
191,"POPSTAR (feat. Drake)","DJ Khaled",815384,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
192,"Godzilla (feat. Juice WRLD)",Eminem,814604,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
193,"Frag mich nicht","Miksu / Macloud",812141,https://open.spotify.com/track/46zfTi4Wg6mmkOBPimtg6X
194,"All Girls Are The Same","Juice WRLD",812076,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
195,"Love Not War (The Tampa Beat)","Jason Derulo",811795,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
196,Hayloft,"Mother Mother",810219,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
197,Starboy,"The Weeknd",810191,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
198,"my ex's best friend (with blackbear)","Machine Gun Kelly",808257,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
199,Polvo,"Nicky Jam",804830,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
200,Explícito,"Myke Towers",804053,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
